memberid,coupondate,coupon id,usingflag,usingdate
3124,2021-07-24 19:34,pro_21102001,0,NULL
3124,2021-07-24 19:34,pro_21102003,0,NULL
3124,2021-07-24 19:34,NA_211020,0,NULL
3124,2021-07-24 19:34,may2021035,0,NULL
3125,2021-07-25 16:23,pro_21102001,0,NULL
3125,2021-07-25 16:23,pro_21102003,0,NULL
3125,2021-07-25 16:23,NA_211020,0,NULL
3125,2021-07-25 16:23,may2021035,0,NULL
3126,2021-07-25 22:00,pro_21102001,0,NULL
3126,2021-07-25 22:00,pro_21102003,0,NULL
3126,2021-07-25 22:00,NA_211020,0,NULL
3126,2021-07-25 22:00,may2021035,0,NULL
3127,2021-07-26 20:32,pro_21102001,0,NULL
3127,2021-07-26 20:32,pro_21102003,0,NULL
3127,2021-07-26 20:32,NA_211020,0,NULL
3127,2021-07-26 20:32,may2021035,0,NULL
3128,2021-07-27 10:40,pro_21102001,0,NULL
3128,2021-07-27 10:40,pro_21102003,0,NULL
3128,2021-07-27 10:40,NA_211020,0,NULL
3128,2021-07-27 10:40,may2021035,0,NULL
3129,2021-07-27 11:02,pro_21102001,0,NULL
3129,2021-07-27 11:02,pro_21102003,0,NULL
3129,2021-07-27 11:02,NA_211020,0,NULL
3129,2021-07-27 11:02,ddotuio0708,0,NULL
3130,2021-07-27 11:31,pro_21102001,0,NULL
3130,2021-07-27 11:31,VI_211020,0,NULL
3130,2021-07-27 11:31,NA_211020,0,NULL
3130,2021-07-27 11:31,ddotuio0708,0,NULL
3131,2021-07-27 13:41,pro_21102001,0,NULL
3131,2021-07-27 13:41,VI_211020,0,NULL
3131,2021-07-27 13:41,NW_211013,0,NULL
3131,2021-07-27 13:41,ddotuio0708,0,NULL
3132,2021-07-27 13:49,pro_21102001,0,NULL
3132,2021-07-27 13:49,VI_211020,0,NULL
3132,2021-07-27 13:49,NW_211013,0,NULL
3132,2021-07-27 13:49,ddotuio0708,0,NULL
3133,2021-07-27 13:55,pro_21102001,0,NULL
3133,2021-07-27 13:55,VI_211020,0,NULL
3133,2021-07-27 13:55,NW_211013,0,NULL
3133,2021-07-27 13:55,ddotuio0708,0,NULL
3134,2021-07-27 13:58,pro_21102001,0,NULL
3134,2021-07-27 13:58,VI_211020,0,NULL
3134,2021-07-27 13:58,NW_211013,0,NULL
3134,2021-07-27 13:58,ddotuio0708,0,NULL
3135,2021-07-27 14:02,pro_21102001,0,NULL
3135,2021-07-27 14:02,VI_211020,0,NULL
3135,2021-07-27 14:02,NW_211013,0,NULL
3135,2021-07-27 14:02,ddotuio0708,0,NULL
3136,2021-07-27 14:19,pro_21102001,0,NULL
3136,2021-07-27 14:19,VI_211020,0,NULL
3136,2021-07-27 14:19,NW_211013,0,NULL
3136,2021-07-27 14:19,ddotuio0708,0,NULL
3137,2021-07-27 14:30,pro_21102001,0,NULL
3137,2021-07-27 14:30,VI_211020,0,NULL
3137,2021-07-27 14:30,NW_211013,0,NULL
3137,2021-07-27 14:30,ddotuio0708,0,NULL
3138,2021-07-27 14:47,pro_21102001,0,NULL
3138,2021-07-27 14:47,VI_211020,0,NULL
3138,2021-07-27 14:47,NW_211013,0,NULL
3138,2021-07-27 14:47,ice070880,0,NULL
3139,2021-07-27 15:36,pro_21102001,0,NULL
3139,2021-07-27 15:36,VI_211020,0,NULL
3139,2021-07-27 15:36,NW_211013,0,NULL
3139,2021-07-27 15:36,ice070880,0,NULL
3140,2021-07-27 15:58,pro_21102001,0,NULL
3140,2021-07-27 15:58,VI_211020,0,NULL
3140,2021-07-27 15:58,NW_211013,0,NULL
3140,2021-07-27 15:58,ice070880,0,NULL
3141,2021-07-28 13:18,pro_21102001,0,NULL
3141,2021-07-28 13:18,VI_211020,0,NULL
3141,2021-07-28 13:18,ice070880,0,NULL
3142,2021-07-28 13:20,pro_21102003,0,NULL
